name,email,date_of_birth,mobile_no,birthdate,above_18
William Dixon,William_Dixon@woodward-fuller.biz,1986/01/10,40601711,19860110,1
Kristen Horn,Kristen_Horn@lin.com,1974-09-10,737931,19740910,1
Kimberly Chang,Kimberly_Chang@johnson-lopez.biz,02/27/1974,2692047,19740227,1
Mary Ball,Mary_Ball@stevens.biz,02/05/1968,886359,19680205,1
Benjamin Craig,Benjamin_Craig@berry.net,12/11/1988,696429,19881211,1
Cathy Werner,Cathy_Werner@martinez.net,2018-09-25,7138041,20180925,0
Brandon Bell,Brandon_Bell@johnson-burgess.com,1961-10-27,768543,19611027,1
Paul Farley,Paul_Farley@payne-taylor.com,1980-11-22,8196105,19801122,1
Sarah Mcdaniel,Sarah_Mcdaniel@hughes-simon.com,2017/04/26,12556,20170426,0
Caroline Anderson,Caroline_Anderson@blair-phillips.com,02/27/1988,5818212,19880227,1
Carl Jones,Carl_Jones@coleman.com,06/21/1993,220035,19930621,1
Scott Lee,Scott_Lee@phillips.com,2010-07-12,52145751,20100712,0
Kaylee Coleman,Kaylee_Coleman@hammond.com,10/08/2009,156657,20091008,0
Charles Parker,Charles_Parker@morris-keller.com,12/20/1980,92921,19801220,1
Susan Hess,Susan_Hess@sharp-hodges.net,1950-05-21,46541,19500521,1
Kiara Collier,Kiara_Collier@chandler.biz,1959-05-21,955551,19590521,1
Scott Martinez,Scott_Martinez@goodwin.com,02/16/1992,369441,19920216,1
Christopher Ortega,Christopher_Ortega@perez.biz,1959-06-18,9968155,19590618,1
Michael Russell,Michael_Russell@nunez-wright.com,2013/01/20,6400283,20130120,0
Dwayne Johnson,Dwayne_Johnson@contreras-boyd.com,2006/11/10,115935,20061110,0
Deanna Sherman,Deanna_Sherman@wright-sanchez.org,25-04-1975,143073,19750425,1
Douglas Francis,Douglas_Francis@king-cross.org,21-12-1992,1535885,19921221,1
Vicki Diaz,Vicki_Diaz@macdonald-day.com,1993/10/05,165459,19931005,1
Robin Phillips,Robin_Phillips@krause.net,1974-07-15,69531,19740715,1
Travis Rice,Travis_Rice@bradley.net,05/08/2006,36316303,20060508,0
Ashley Rocha,Ashley_Rocha@hicks.info,1956/09/11,7046565,19560911,1
Sarah Jacobson,Sarah_Jacobson@mclean-jacobs.info,03/09/1958,61071779,19580309,1
Kayla Shannon,Kayla_Shannon@hendricks-hunter.org,1984/05/17,51323743,19840517,1
Joseph Torres,Joseph_Torres@johnson.com,1955/05/05,34376,19550505,1
Kim Jones,Kim_Jones@little.net,02-11-1985,34401,19850211,1
Melissa Tanner,Melissa_Tanner@johnson.net,04/30/1989,70391,19890430,1
Sonya Foster,Sonya_Foster@garcia-browning.com,10-09-1988,143877,19881009,1
Thomas Rivera,Thomas_Rivera@guzman-avila.com,1951/07/15,843813,19510715,1
Jamie Silva,Jamie_Silva@hill.com,2006/06/21,469791,20060621,0
Kathleen Moore,Kathleen_Moore@avila.info,1952/02/03,609093,19520203,1
Evelyn Pineda,Evelyn_Pineda@sullivan-collins.net,02/04/1958,8819217,19580204,1
